".Thomas County, Georgia","45,561"
".Tift County, Georgia","41,412"
".Toombs County, Georgia","26,837"
".Towns County, Georgia","12,972"
".Treutlen County, Georgia","6,365"
".Troup County, Georgia","70,191"
".Turner County, Georgia","8,842"
".Twiggs County, Georgia","7,680"
".Union County, Georgia","26,388"
".Upson County, Georgia","28,086"
".Walker County, Georgia","68,915"
".Walton County, Georgia","103,065"
".Ware County, Georgia","35,614"
".Warren County, Georgia","5,155"
".Washington County, Georgia","19,738"
".Wayne County, Georgia","30,896"
".Webster County, Georgia","2,328"
".Wheeler County, Georgia","7,314"
".White County, Georgia","28,806"
".Whitfield County, Georgia","103,132"
".Wilcox County, Georgia","8,761"
".Wilkes County, Georgia","9,599"
".Wilkinson County, Georgia","8,681"
".Worth County, Georgia","20,424"
".Hawaii County, Hawaii","206,315"
".Honolulu County, Hawaii","995,638"
".Kalawao County, Hawaii",82
".Kauai County, Hawaii","73,810"
".Maui County, Hawaii","164,351"
".Ada County, Idaho","518,907"
".Adams County, Idaho","4,817"
".Bannock County, Idaho","89,517"
".Bear Lake County, Idaho","6,722"
".Benewah County, Idaho","10,370"
".Bingham County, Idaho","49,923"
".Blaine County, Idaho","24,866"
".Boise County, Idaho","8,333"
".Bonner County, Idaho","51,414"
".Bonneville County, Idaho","129,496"
".Boundary County, Idaho","13,345"
".Butte County, Idaho","2,684"
".Camas County, Idaho","1,153"
".Canyon County, Idaho","251,065"
".Caribou County, Idaho","7,190"
".Cassia County, Idaho","25,655"
".Clark County, Idaho",806
".Clearwater County, Idaho","9,015"
".Custer County, Idaho","4,506"
".Elmore County, Idaho","29,403"
".Franklin County, Idaho","15,189"
".Fremont County, Idaho","13,978"
".Gem County, Idaho","20,418"
".Gooding County, Idaho","15,715"
".Idaho County, Idaho","17,593"
".Jefferson County, Idaho","33,428"
".Jerome County, Idaho","25,311"
".Kootenai County, Idaho","183,578"
".Latah County, Idaho","40,978"
".Lemhi County, Idaho","8,240"
".Lewis County, Idaho","3,763"
".Lincoln County, Idaho","5,329"
".Madison County, Idaho","54,976"
".Minidoka County, Idaho","22,194"
".Nez Perce County, Idaho","43,004"
".Oneida County, Idaho","4,712"
".Owyhee County, Idaho","12,613"
".Payette County, Idaho","26,956"
".Power County, Idaho","8,068"
".Shoshone County, Idaho","14,012"
".Teton County, Idaho","12,544"
".Twin Falls County, Idaho","93,696"
".Valley County, Idaho","12,464"
".Washington County, Idaho","11,087"
".Adams County, Illinois","64,725"
".Alexander County, Illinois","4,858"
".Bond County, Illinois","16,566"
".Boone County, Illinois","53,154"
".Brown County, Illinois","6,330"
".Bureau County, Illinois","32,828"
".Calhoun County, Illinois","4,360"
".Carroll County, Illinois","15,529"
".Cass County, Illinois","12,657"
".Champaign County, Illinois","206,542"
".Christian County, Illinois","33,436"
".Clark County, Illinois","15,229"
".Clay County, Illinois","13,047"
".Clinton County, Illinois","36,909"
".Coles County, Illinois","46,334"
".Cook County, Illinois","5,109,292"
".Crawford County, Illinois","18,536"
".Cumberland County, Illinois","10,324"
".DeKalb County, Illinois","100,232"
".De Witt County, Illinois","15,310"
".Douglas County, Illinois","19,755"
".DuPage County, Illinois","920,901"
".Edgar County, Illinois","16,433"
".Edwards County, Illinois","6,071"
".Effingham County, Illinois","34,325"
".Fayette County, Illinois","21,305"
".Ford County, Illinois","13,249"
".Franklin County, Illinois","37,242"
".Fulton County, Illinois","33,021"
".Gallatin County, Illinois","4,855"
".Greene County, Illinois","11,651"
".Grundy County, Illinois","53,041"
".Hamilton County, Illinois","7,984"
".Hancock County, Illinois","17,244"
".Hardin County, Illinois","3,597"
".Henderson County, Illinois","6,151"
".Henry County, Illinois","48,419"
".Iroquois County, Illinois","26,473"
".Jackson County, Illinois","52,617"
".Jasper County, Illinois","9,212"
".Jefferson County, Illinois","36,400"
".Jersey County, Illinois","21,246"
".Jo Daviess County, Illinois","21,758"
".Johnson County, Illinois","13,381"
".Kane County, Illinois","514,182"
".Kankakee County, Illinois","106,074"
".Kendall County, Illinois","137,254"
".Knox County, Illinois","48,640"
".Lake County, Illinois","709,150"
".LaSalle County, Illinois","108,078"
".Lawrence County, Illinois","14,914"
".Lee County, Illinois","33,848"
".Livingston County, Illinois","35,521"
".Logan County, Illinois","27,591"
".McDonough County, Illinois","26,861"
".McHenry County, Illinois","311,747"
".McLean County, Illinois","171,141"
".Macon County, Illinois","101,483"
".Macoupin County, Illinois","44,245"
".Madison County, Illinois","263,864"
".Marion County, Illinois","36,914"
